begin,open,close,high,low,value,volume,log_return
2004-01-06,114.31,114.31,114.31,114.31,0.0,0,0.004910998206627358
2004-01-08,116.17,116.17,116.17,116.17,0.0,0,0.01614057948769646
2004-01-09,116.21,116.21,116.21,116.21,0.0,0,0.0003442637093988594
2004-01-12,116.12,116.12,116.12,116.12,0.0,0,-0.0007747600783531108
2004-01-13,116.02,116.02,116.02,116.02,0.0,0,-0.0008615491185109707
2004-01-14,115.87,115.87,115.87,115.87,0.0,0,-0.0012937170289472803
2004-01-15,116.05,116.05,116.05,116.05,0.0,0,0.001552259711474981
2004-01-16,116.11,116.11,116.11,116.11,0.0,0,0.0005168849184688557
2004-01-19,115.97,115.97,115.97,115.97,0.0,0,-0.001206480670302915
2004-01-20,115.57,115.57,115.57,115.57,0.0,0,-0.0034551299812619774
2004-01-21,115.4,115.4,115.4,115.4,0.0,0,-0.001472052913350698
2004-01-22,115.98,115.98,115.98,115.98,0.0,0,0.005013408374295389
2004-01-23,116.14,116.14,116.14,116.14,0.0,0,0.001378597495609157
2004-01-26,116.33,116.33,116.33,116.33,0.0,0,0.0016346198847711475
2004-01-27,116.38,116.38,116.38,116.38,0.0,0,0.0004297193998488542
2004-01-28,116.52,116.52,116.52,116.52,0.0,0,0.0012022328627100181
2004-01-29,116.52,116.52,116.52,116.52,0.0,0,0.0
2004-01-30,116.27,116.27,116.27,116.27,0.0,0,-0.0021478594107170275
2004-02-02,115.88,115.88,115.88,115.88,0.0,0,-0.003359899779367206
2004-02-03,115.98,115.98,115.98,115.98,0.0,0,0.0008625895471449566
2004-02-04,115.88,115.88,115.88,115.88,0.0,0,-0.0008625895471449411
2004-02-05,115.84,115.84,115.84,115.84,0.0,0,-0.00034524426374333395
2004-02-06,115.71,115.71,115.71,115.71,0.0,0,-0.0011228677491601706
2004-02-09,115.78,115.78,115.78,115.78,0.0,0,0.0006047777626124854
2004-02-10,115.66,115.66,115.66,115.66,0.0,0,-0.00103698592078635
