begin,open,close,high,low,value,volume,log_return
2020-01-06,259.0,256.55,259.0,254.8,7209355959.2,28148270,-0.009504484311563848
2020-01-08,256.25,255.79,257.32,254.77,6547261526.8,25611080,-0.002966782048822995
2020-01-09,255.69,254.07,256.68,251.82,8444500064.7,33224310,-0.006746975737533453
2020-01-10,254.0,251.9,254.6,251.2,7220010840.8,28567810,-0.00857763624305277
2020-01-13,252.5,251.5,252.5,248.4,10339106193.4,41352670,-0.0015891938187706455
2020-01-14,252.0,250.0,253.2,249.0,8262581389.3,32936950,-0.005982071677547429
2020-01-15,249.5,251.3,252.5,247.75,11000779361.0,43981200,0.005186526687300154
2020-01-16,251.9,254.26,254.54,251.5,9751384752.0,38437850,0.011709920972429852
2020-01-17,254.75,255.39,256.6,253.8,10773869781.0,42158800,0.004434423042098858
2020-01-20,255.66,253.5,256.1,253.01,7626569520.9,29970260,-0.007427965532837469
2020-01-21,253.25,252.99,253.4,250.88,6807837965.4,27027840,-0.002013860776577895
2020-01-22,252.81,248.1,253.39,248.1,9728948714.4,38885020,-0.019518071556904625
2020-01-23,246.71,239.3,247.66,239.01,17994555181.1,73879000,-0.03611389578342763
2020-01-24,240.12,237.95,243.25,235.28,16551735916.4,69052730,-0.0056574273472083025
2020-01-27,235.0,230.96,235.4,229.65,24397136253.3,105334120,-0.029816032212439777
2020-01-28,232.6,235.0,237.59,229.0,19971991383.4,85537270,0.01734097878947938
2020-01-29,236.95,232.0,237.36,231.3,12383118729.5,52810870,-0.012848142477849024
2020-01-30,230.71,231.53,232.49,229.45,9594292609.6,41538100,-0.002027916903202908
2020-01-31,232.53,226.7,233.79,226.57,16088362052.0,70290180,-0.02108189724962374
2020-02-03,223.8,227.64,229.98,223.8,12316500895.1,54239810,0.004137876221439882
2020-02-04,228.49,230.5,231.08,226.65,10412150726.6,45438970,0.012485428701780035
2020-02-05,230.89,232.56,235.73,228.8,14469266290.8,61997310,0.008897393813917178
2020-02-06,234.0,231.38,236.0,230.15,9916344766.0,42622260,-0.005086875649877691
2020-02-07,232.38,229.11,233.39,227.14,11454553014.7,49942780,-0.009859143032340336
2020-02-10,228.5,225.2,229.75,224.41,11508996452.5,50876040,-0.017213341302867207
2020-02-11,226.55,233.9,236.18,226.01,22132634607.7,95633710,0.03790477732459803
2020-02-12,235.3,238.03,239.8,234.56,19803240839.2,83198650,0.017503042557822725
2020-02-13,236.9,233.55,237.98,233.55,9881884217.5,42016750,-0.01900052919983901
2020-02-14,233.79,232.5,235.4,230.91,7995544698.9,34354000,-0.004505961920706029
2020-02-17,233.5,233.75,234.56,231.91,4794405071.0,20559370,0.005361943141385373
2020-02-18,233.0,230.5,233.28,229.8,7133456513.8,30861790,-0.014001305732093183
2020-02-19,231.81,231.9,233.5,230.71,5667073798.9,24431430,0.006055381824782697
2020-02-20,232.51,234.6,235.75,232.0,7881238785.8,33584770,0.011575691957889052
2020-02-21,233.05,232.0,233.77,231.61,6899681327.6,29658690,-0.011144564553065063
