begin,open,close,high,low,value,volume,log_return
2004-01-06,542.19,543.94,548.94,540.7,6000835972.45,0,0.0032224531397951647
2004-01-08,543.94,533.57,543.94,532.92,6149007184.27,0,-0.019248675523603282
2004-01-09,533.57,549.69,549.69,533.57,6895948925.78,0,0.029764211828344402
2004-01-12,549.69,536.85,552.9,536.79,7506517452.73,0,-0.023635757080048878
2004-01-13,536.85,531.93,543.82,530.6,9104465088.58,0,-0.00920682414313777
2004-01-14,531.93,542.45,542.45,528.4,8031644302.09,0,0.0195840135314531
2004-01-15,542.45,523.81,542.92,522.97,10320190510.1,0,-0.03496689212087935
2004-01-16,523.81,532.49,535.86,521.25,10414198068.85,0,0.01643509491694283
2004-01-19,532.49,539.17,539.22,530.93,8038061764.95,0,0.012466802003528182
2004-01-20,539.17,541.87,547.18,538.34,11587318992.31,0,0.004995200203883866
2004-01-21,541.87,546.98,548.94,541.87,10207445287.82,0,0.009386118410302596
2004-01-22,546.98,553.17,553.8,539.95,13469386604.62,0,0.011253129702945053
2004-01-23,553.17,563.62,563.69,551.54,9430682311.47,0,0.018714897170120745
2004-01-26,563.62,556.89,567.98,556.1,9888776428.74,0,-0.012012531666062207
2004-01-27,556.89,561.0,565.67,551.81,11869478186.29,0,0.007353171633454876
2004-01-28,561.0,556.33,563.6,554.27,8647436800.51,0,-0.008359262158664246
2004-01-29,556.33,562.15,565.07,554.06,7658150154.71,0,0.010407074831736534
2004-01-30,562.15,551.72,562.15,546.48,13140814349.54,0,-0.018728046988449445
2004-02-02,551.72,542.56,554.22,541.5,8463889674.9,0,-0.01674199282999083
2004-02-03,542.56,551.02,551.87,538.16,8974908410.1,0,0.015472427757495952
2004-02-04,551.02,557.56,561.3,550.58,11276061473.98,0,0.011799014726861163
2004-02-05,557.56,547.79,561.05,547.5,10652554311.71,0,-0.017678119036861287
2004-02-06,547.79,549.09,549.34,541.63,7541293122.39,0,0.002370360675156318
2004-02-09,549.09,552.83,556.4,549.09,7446999129.19,0,0.006788177656069921
2004-02-10,552.83,550.29,557.44,546.44,10620671182.94,0,-0.004605128161681308
2004-02-11,550.29,552.02,554.35,548.6,8452942425.58,0,0.003138865510425334
2004-02-12,552.02,566.72,567.22,552.02,15535248483.85,0,0.026281077089674323
2004-02-13,566.72,569.07,572.31,564.62,8940486426.62,0,0.004138094812272531
2004-02-16,569.07,570.77,571.07,564.53,5131716349.61,0,0.0029828770011348696
2004-02-17,570.77,572.98,578.46,570.43,11197466608.56,0,0.003864485683742553
2004-02-18,572.98,575.76,581.35,572.67,10247942680.64,0,0.004840095107930177
2004-02-19,575.76,570.86,578.0,568.03,9331739739.76,0,-0.008546911493937895
2004-02-20,570.86,576.44,578.42,570.84,8386125707.99,0,0.00972726226454998
2004-02-24,576.44,574.01,584.64,563.16,17848403439.51,0,-0.004224440199561478
2004-02-25,574.01,578.29,582.46,574.01,8944494491.63,0,0.007428655181120355
2004-02-26,578.29,582.38,586.79,578.08,11216688012.12,0,0.007047682681761661
2004-02-27,582.38,591.09,592.05,581.13,10410136928.06,0,0.014845134442504631
2004-03-01,591.09,606.71,606.81,591.09,13579702319.66,0,0.026082627347274973
2004-03-02,606.71,600.29,612.55,599.91,11910796692.98,0,-0.010638045641713289
2004-03-03,600.29,591.9,600.29,587.21,11421265516.37,0,-0.01407517008486848
2004-03-04,591.9,592.34,593.81,580.84,8876545358.58,0,0.0007430926505555213
2004-03-05,592.34,598.18,598.87,592.34,6516967731.81,0,0.009810917655460447
2004-03-09,598.18,605.84,607.18,596.05,8849798606.33,0,0.01272421280287218
2004-03-10,605.84,594.13,606.22,593.78,7505836251.65,0,-0.0195177741693769
2004-03-11,594.13,582.48,594.13,581.02,10843993898.25,0,-0.01980330054973465
2004-03-12,582.48,586.86,588.65,579.98,6353462314.3,0,0.007491440444000852
2004-03-15,586.86,583.54,594.53,583.4,7828123463.03,0,-0.005673289311085387
2004-03-16,583.54,593.73,593.78,581.95,7168888395.1,0,0.017311669351627697
2004-03-17,593.73,609.02,609.82,593.73,12883128582.08,0,0.02542643732214925
2004-03-18,609.02,617.29,620.03,608.87,12226242071.22,0,0.013487821796676496
2004-03-19,617.29,630.95,631.52,615.08,13408521447.77,0,0.021887690409095144
2004-03-22,630.95,620.14,634.52,616.92,9877927014.07,0,-0.017281361098609158
2004-03-23,620.14,624.26,625.34,616.66,9264763060.91,0,0.006621689254333359
2004-03-24,624.26,617.19,627.51,613.77,9816803033.08,0,-0.011390030100394759
2004-03-25,617.19,618.01,623.87,612.91,11835034128.43,0,0.0013277204023005222
