begin,open,close,high,low,value,volume,log_return
2014-05-13,1951.6,1931.3,1964.5,1921.7,1873268122.5,962696,-0.009636021279238818
2014-05-14,1931.4,1910.9,1931.6,1908.5,2567624559.2,1339659,-0.010619016031228027
2014-05-15,1911.3,1890.0,1929.5,1889.0,2325752545.1,1219578,-0.01099750619363761
2014-05-16,1894.9,1919.0,1919.0,1881.0,1835417308.7,966261,0.015227387954011939
2014-05-19,1915.0,1938.0,1954.8,1914.6,2655150815.6,1368914,0.00985229644301164
2014-05-20,1939.5,1979.0,1979.0,1938.0,2884238055.3,1474751,0.020935153151854135
2014-05-21,1989.7,1995.0,2005.3,1962.0,2989438505.6,1506062,0.008052383721398116
2014-05-22,1995.3,1965.2,1999.7,1953.0,2070012365.0,1048420,-0.01505002902947058
2014-05-23,1967.0,1957.0,1975.0,1947.7,1656732777.8,845473,-0.0041813328984169765
2014-05-26,1960.8,1972.0,1984.2,1958.5,960100557.8,486429,0.007635567766504399
2014-05-27,1972.0,1930.3,1972.0,1922.3,2756891638.9,1421152,-0.021372824928751193
2014-05-28,1937.0,1944.9,1949.4,1923.0,1471290857.1,759673,0.007535130615230198
2014-05-29,1949.8,1977.7,1977.9,1943.1,2189704633.4,1115359,0.016723991478919585
2014-05-30,1978.0,1968.0,1989.9,1965.5,2671578143.1,1351881,-0.004916754715780615
2014-06-02,1978.5,2037.0,2041.7,1977.1,2567260378.5,1273242,0.03446033861460717
2014-06-03,2027.0,2050.0,2052.0,2020.0,2278008799.1,1119187,0.006361655905648022
2014-06-04,1992.6,2047.0,2058.5,1992.6,1782737989.6,870770,-0.0014644864711643346
2014-06-05,2039.1,2035.0,2059.9,2028.7,1723029950.4,844652,-0.005879487784594166
2014-06-06,2035.5,2030.6,2045.5,2015.3,2289435097.5,1127201,-0.002164503009573125
2014-06-09,2030.8,2025.0,2045.0,2018.0,1453771996.3,716361,-0.0027616153264827794
2014-06-10,2028.1,2061.4,2069.5,2017.6,1982352590.8,968280,0.017815663062052917
2014-06-11,2051.1,2097.9,2097.9,2051.1,2342312889.7,1128673,0.017551480775238368
2014-06-16,2092.2,2149.0,2153.3,2067.3,7933673285.0,3720757,0.024065773264579635
2014-06-17,2205.1,2130.0,2205.1,2122.5,3205007847.3,1494451,-0.008880637939039634
2014-06-18,2135.0,2126.9,2152.3,2121.8,2410984096.6,1129635,-0.001456459182971462
2014-06-19,2140.0,2112.1,2147.9,2112.0,2425401185.6,1140105,-0.006982807330402961
2014-06-20,2119.0,2100.0,2127.3,2086.1,2248343272.6,1067446,-0.005745368478582088
2014-06-23,2122.6,2082.6,2122.6,2073.5,2396474709.4,1145096,-0.008320231615718838
2014-06-24,2084.3,2099.1,2105.0,2078.0,2384330740.9,1140093,0.007891568324165234
2014-06-25,2087.2,2037.4,2103.9,2035.1,2609683622.6,1263150,-0.029834196263994646
2014-06-26,2049.0,2028.6,2061.4,2021.6,3398984682.0,1666665,-0.004328585214070707
2014-06-27,2030.7,2021.0,2036.5,2007.0,1537116285.0,760846,-0.0037534615382742724
2014-06-30,2020.5,2036.0,2036.0,2012.0,1459462121.1,720849,0.007394660266792308
2014-07-01,2035.1,2063.9,2065.4,2022.3,2019742059.2,986895,0.013610298144916502
2014-07-02,2065.9,2110.0,2110.3,2060.9,2158466748.8,1034589,0.022090550654782243
2014-07-03,2113.0,2089.9,2114.3,2086.0,1353327180.8,644019,-0.009571729545906545
2014-07-04,2095.0,2062.9,2100.9,2048.2,1681407149.2,809144,-0.013003458125243292
2014-07-07,2062.0,2113.0,2126.0,2055.9,2271690390.0,1080900,0.02399597881709435
2014-07-08,2112.6,2122.9,2143.0,2112.6,2301389570.2,1080527,0.0046743398218994205
