begin,open,close,high,low,value,volume,log_return
2014-05-13,7.66,7.66,7.66,7.66,22094928806.82,0,-0.0013046316266648581
2014-05-14,7.7,7.7,7.7,7.7,20767833851.6,0,0.00520834510713826
2014-05-15,7.69,7.69,7.69,7.69,22944548267.74,0,-0.0012995453420855034
2014-05-16,7.62,7.62,7.62,7.62,24161133215.56,0,-0.00914441381899777
2014-05-19,7.68,7.68,7.68,7.68,25009254513.49,0,0.007843177461025879
2014-05-20,7.68,7.68,7.68,7.68,23275590593.8,0,0.0
2014-05-21,7.83,7.83,7.83,7.83,27679597665.01,0,0.019342962843130935
2014-05-22,7.81,7.81,7.81,7.81,22014020203.14,0,-0.002557546151117232
2014-05-23,7.82,7.82,7.82,7.82,24290009474.71,0,0.0012795907056252546
2014-05-26,7.74,7.74,7.74,7.74,22750721470.86,0,-0.01028286695558392
2014-05-27,7.79,7.79,7.79,7.79,22205094309.92,0,0.006439172281021233
2014-05-28,7.77,7.77,7.77,7.77,21816437882.81,0,-0.002570695503100866
2014-05-29,7.76,7.76,7.76,7.76,23483440797.38,0,-0.0012878301844286139
2014-05-30,7.73,7.73,7.73,7.73,25542498823.02,0,-0.0038734715957966636
2014-06-02,7.75,7.75,7.75,7.75,25755072805.38,0,0.0025839807659250678
2014-06-03,7.68,7.68,7.68,7.68,28710300518.06,0,-0.00907329620567483
2014-06-04,7.51,7.51,7.51,7.51,24396797565.76,0,-0.022384081383537386
2014-06-05,7.61,7.61,7.61,7.61,22467116754.75,0,0.013227706097551126
2014-06-06,7.56,7.56,7.56,7.56,23829820541.51,0,-0.006591981682152949
2014-06-09,7.58,7.58,7.58,7.58,24724359282.4,0,0.0026420094628387975
2014-06-10,7.66,7.66,7.66,7.66,24287672990.9,0,0.01049878409821957
2014-06-11,7.54,7.54,7.54,7.54,24197090693.58,0,-0.015789801732635195
2014-06-16,7.54,7.54,7.54,7.54,27185433064.07,0,0.0
2014-06-17,7.64,7.64,7.64,7.64,24638922077.15,0,0.013175421158564328
2014-06-18,7.77,7.77,7.77,7.77,20690560975.73,0,0.016872561201126846
2014-06-19,7.71,7.71,7.71,7.71,21662165986.21,0,-0.007751976804317936
2014-06-20,7.5,7.5,7.5,7.5,11018504194.99,0,-0.02761516703297338
2014-06-23,7.76,7.76,7.76,7.76,23021317094.02,0,0.03407931365286258
2014-06-24,7.79,7.79,7.79,7.79,21660854670.29,0,0.0038585256875294997
2014-06-25,7.8,7.8,7.8,7.8,21998643078.66,0,0.0012828738128891231
2014-06-26,7.82,7.82,7.82,7.82,22067368913.18,0,0.0025608208616736505
2014-06-27,7.62,7.62,7.62,7.62,16309172177.36,0,-0.025908184858664803
2014-06-30,7.64,7.64,7.64,7.64,25966797769.5,0,0.0026212334798740656
2014-07-01,7.68,7.68,7.68,7.68,27363975612.21,0,0.005221943981151625
2014-07-02,7.74,7.74,7.74,7.74,25747895980.7,0,0.007782140442054949
2014-07-03,7.7,7.7,7.7,7.7,27100543396.43,0,-0.005181358741997629
2014-07-04,7.49,7.49,7.49,7.49,31552612753.13,0,-0.02765153133051001
2014-07-07,7.6,7.6,7.6,7.6,29846089010.04,0,0.014579449763157238
2014-07-08,7.64,7.64,7.64,7.64,27167787938.18,0,0.005249355886143745
2014-07-09,7.54,7.54,7.54,7.54,25415921650.99,0,-0.013175421158564404
2014-07-10,7.5,7.5,7.5,7.5,34054595164.66,0,-0.005319161477599933
2014-07-11,7.66,7.66,7.66,7.66,30860572868.65,0,0.021108963210235265
2014-07-14,7.78,7.78,7.78,7.78,31553072093.89,0,0.015544354437800379
2014-07-15,7.77,7.77,7.77,7.77,28531271381.91,0,-0.0012861738107442296
2014-07-16,7.74,7.74,7.74,7.74,29522497772.88,0,-0.003868476777920206
2014-07-17,7.72,7.72,7.72,7.72,28629400951.88,0,-0.0025873235649510238
2014-07-18,7.63,7.63,7.63,7.63,31572078779.72,0,-0.011726518740319094
2014-07-21,7.71,7.71,7.71,7.71,30347282463.7,0,0.010430342278872453
2014-07-22,7.63,7.63,7.63,7.63,26740629328.17,0,-0.010430342278872446
2014-07-23,7.76,7.76,7.76,7.76,21971546891.92,0,0.01689448889876183
2014-07-24,7.78,7.78,7.78,7.78,23873727366.86,0,0.0025740039951728426
2014-07-25,7.86,7.86,7.86,7.86,23059917454.53,0,0.010230268250815043
2014-07-28,8.02,8.02,8.02,8.02,24067835597.67,0,0.020151815437307912
2014-07-29,7.95,7.95,7.95,7.95,26346869470.6,0,-0.008766493212182551
2014-07-30,8.17,8.17,8.17,8.17,22365096726.6,0,0.02729698020567098
2014-07-31,8.01,8.01,8.01,8.01,26127405380.96,0,-0.019778147791643632
2014-08-01,8.04,8.04,8.04,8.04,22010375692.98,0,0.003738322110607158
2014-08-04,7.83,7.83,7.83,7.83,29180877602.19,0,-0.026466573188163176
2014-08-05,7.85,7.85,7.85,7.85,24628498178.08,0,0.0025510217916052047
2014-08-06,8.02,8.02,8.02,8.02,17884859570.48,0,0.021424890084106057
2014-08-07,7.95,7.95,7.95,7.95,18301920392.47,0,-0.008766493212182551
2014-08-08,7.9,7.9,7.9,7.9,19151299205.03,0,-0.006309169193264721
2014-08-11,8.07,8.07,8.07,8.07,19848010725.7,0,0.021290722808881515
2014-08-12,8.18,8.18,8.18,8.18,20061404300.56,0,0.013538668332798265
2014-08-13,8.03,8.03,8.03,8.03,19148255672.06,0,-0.01850762265598544
2014-08-14,7.73,7.73,7.73,7.73,28194549038.41,0,-0.03807566535933952
2014-08-15,7.6,7.6,7.6,7.6,27183244245.49,0,-0.016960615307045315
2014-08-18,7.6,7.6,7.6,7.6,25890130138.43,0,0.0
2014-08-19,8.03,8.03,8.03,8.03,17344964596.82,0,0.05503628066638492
2014-08-20,8.03,8.03,8.03,8.03,18068774137.48,0,0.0
2014-08-21,7.92,7.92,7.92,7.92,21440507332.87,0,-0.01379332213233576
2014-08-22,7.92,7.92,7.92,7.92,22968804080.07,0,0.0
2014-08-25,8.04,8.04,8.04,8.04,21114866893.95,0,0.015037877364540502
2014-08-26,8.06,8.06,8.06,8.06,24769025336.39,0,0.002484473327662187
2014-08-27,8.18,8.18,8.18,8.18,17224415982.58,0,0.014778594096118683
2014-08-28,7.98,7.98,7.98,7.98,21710669302.35,0,-0.024753739152938176
2014-08-29,7.65,7.65,7.65,7.65,27571521369.36,0,-0.0422327636232729
2014-09-01,7.72,7.72,7.72,7.72,20643768980.1,0,0.0091087161982403
2014-09-02,7.83,7.83,7.83,7.83,18937310543.33,0,0.01414814596602698
2014-09-03,7.75,7.75,7.75,7.75,22160796241.62,0,-0.010269666637456156
2014-09-04,7.66,7.66,7.66,7.66,21779989416.31,0,-0.011680859612755681
2014-09-05,7.53,7.53,7.53,7.53,23178053224.35,0,-0.017116941940697752
2014-09-08,7.25,7.25,7.25,7.25,17460767913.96,0,-0.03789357294521888
2014-09-09,7.58,7.58,7.58,7.58,21589541360.26,0,0.044511730787696886
2014-09-10,7.73,7.73,7.73,7.73,28317828498.02,0,0.019595662945050416
2014-09-11,7.87,7.87,7.87,7.87,36668126390.16,0,0.017949199829981284
2014-09-12,7.99,7.99,7.99,7.99,45056393947.78,0,0.01513269734887146
2014-09-15,7.98,7.98,7.98,7.98,33802928307.72,0,-0.0012523483164658376
2014-09-16,8.09,8.09,8.09,8.09,30725356634.95,0,0.013690319608682841
2014-09-17,8.35,8.35,8.35,8.35,35322897003.98,0,0.03163280779236371
2014-09-18,8.49,8.49,8.49,8.49,29158544162.69,0,0.016627461460491832
2014-09-19,8.24,8.24,8.24,8.24,25957616995.7,0,-0.029888656401875605
2014-09-22,8.16,8.16,8.16,8.16,25250201533.15,0,-0.009756174945364685
2014-09-23,8.14,8.14,8.14,8.14,27673294671.0,0,-0.002453988961566703
2014-09-24,8.08,8.08,8.08,8.08,31441822218.43,0,-0.0073983074814449245
2014-09-25,8.0,8.0,8.0,8.0,35020847380.69,0,-0.009950330853168092
2014-09-26,8.05,8.05,8.05,8.05,42678064698.28,0,0.006230549750636163
2014-09-29,8.1,8.1,8.1,8.1,32416485371.19,0,0.00619197024792098
2014-09-30,7.96,7.96,7.96,7.96,40891171780.79,0,-0.017435061822101423
2014-10-01,7.93,7.93,7.93,7.93,32295362840.32,0,-0.0037759642095350735
2014-10-02,7.96,7.96,7.96,7.96,33590409801.7,0,0.003775964209535136
2014-10-03,7.74,7.74,7.74,7.74,38557956855.57,0,-0.02802731225465585
2014-10-06,7.56,7.56,7.56,7.56,30912538430.35,0,-0.02353049741019416
2014-10-07,7.53,7.53,7.53,7.53,34856923782.84,0,-0.0039761483796392945
2014-10-08,7.55,7.55,7.55,7.55,32222300084.58,0,0.0026525214491311235
2014-10-09,7.62,7.62,7.62,7.62,33495785223.57,0,0.009228806437621705
2014-10-10,7.8,7.8,7.8,7.8,39796475443.94,0,0.023347363996991107
2014-10-13,7.99,7.99,7.99,7.99,37207362928.91,0,0.024067026082637378
2014-10-14,8.22,8.22,8.22,8.22,34353068347.73,0,0.028379449289905233
2014-10-15,8.45,8.45,8.45,8.45,33992321976.35,0,0.027596232300993843
2014-10-16,8.49,8.49,8.49,8.49,30216948667.05,0,0.004722558954173538
2014-10-17,8.25,8.25,8.25,8.25,27200097746.31,0,-0.02867579997666631
2014-10-20,8.2,8.2,8.2,8.2,27286184012.61,0,-0.006079046076382226
2014-10-21,8.38,8.38,8.38,8.38,29479595803.62,0,0.02171376022378448
2014-10-22,8.35,8.35,8.35,8.35,28235988844.78,0,-0.0035863756312276888
2014-10-23,8.3,8.3,8.3,8.3,35770023907.08,0,-0.006006024060211699
2014-10-24,8.27,8.27,8.27,8.27,34331501936.43,0,-0.003621005766952405
2014-10-27,8.16,8.16,8.16,8.16,28796637298.86,0,-0.013390340059584187
2014-10-28,8.11,8.11,8.11,8.11,27468825919.6,0,-0.006146300848694178
2014-10-29,8.15,8.15,8.15,8.15,30864562987.8,0,0.004920059125449853
2014-10-30,8.3,8.3,8.3,8.3,38491119656.7,0,0.018237587549781012
2014-10-31,8.17,8.17,8.17,8.17,34442661707.96,0,-0.015786605930640765
2014-11-03,8.32,8.32,8.32,8.32,2673943420.51,0,0.01819334596120573
2014-11-05,9.04,9.04,9.04,9.04,24831255056.66,0,0.08299691957096783
2014-11-06,9.25,9.25,9.25,9.25,30342397767.89,0,0.022964377120248868
2014-11-07,9.18,9.18,9.18,9.18,33860677997.96,0,-0.007596346891934763
2014-11-10,9.07,9.07,9.07,9.07,30517496465.22,0,-0.012054940505353743
2014-11-11,9.07,9.07,9.07,9.07,27181351873.61,0,0.0
2014-11-12,9.66,9.66,9.66,9.66,38928369636.07,0,0.06302138409738132
2014-11-13,9.65,9.65,9.65,9.65,37548717241.17,0,-0.0010357328735320908
2014-11-14,9.56,9.56,9.56,9.56,41158107568.48,0,-0.00937018828758463
2014-11-17,9.67,9.67,9.67,9.67,33025158956.92,0,0.01144058240189292
2014-11-18,9.51,9.51,9.51,9.51,41195615136.13,0,-0.016684432907904043
2014-11-19,9.87,9.87,9.87,9.87,44605129749.19,0,0.03715597688809127
2014-11-20,10.04,10.04,10.04,10.04,48033024834.94,0,0.017077260818193024
2014-11-21,10.06,10.06,10.06,10.06,38697555891.44,0,0.001990050408010231
2014-11-24,10.18,10.18,10.18,10.18,45616433675.15,0,0.011857846450783468
2014-11-25,10.13,10.13,10.13,10.13,38404300310.79,0,-0.004923692861784612
2014-11-26,10.23,10.23,10.23,10.23,32432144583.0,0,0.00982326170294302
2014-11-27,10.27,10.27,10.27,10.27,31276017293.0,0,0.0039024439769317454
2014-11-28,10.12,10.12,10.12,10.12,49275208912.0,0,-0.01471336008114742
2014-12-01,10.11,10.11,10.11,10.11,38045462952.0,0,-0.0009886308269394322
2014-12-02,9.97,9.97,9.97,9.97,36921445731.0,0,-0.013944449058632933
2014-12-03,9.78,9.78,9.78,9.78,39172190074.0,0,-0.01924109992702115
2014-12-04,9.64,9.64,9.64,9.64,32470256825.0,0,-0.0144183754242716
2014-12-05,9.65,9.65,9.65,9.65,32052594043.0,0,0.0010368067284403084
2014-12-08,9.7,9.7,9.7,9.7,38951744412.0,0,0.005167970158442377
2014-12-09,9.73,9.73,9.73,9.73,37614048370.0,0,0.0030880106885767668
2014-12-10,9.54,9.54,9.54,9.54,24430888361.0,0,-0.019720410737718623
2014-12-11,9.8,9.8,9.8,9.8,23488562653.0,0,0.026888900216331217
2014-12-12,10.65,10.65,10.65,10.65,22520050777.0,0,0.08317750647890793
2014-12-15,10.57,10.57,10.57,10.57,21661320723.0,0,-0.007540092273287806
2014-12-16,16.22,16.22,16.22,16.22,5082623690.0,0,0.42822524880512053
2014-12-17,17.05,17.05,17.05,17.05,9104517604.0,0,0.04990515504225913
2014-12-18,17.41,17.41,17.41,17.41,14114678569.0,0,0.020894550050571774
2014-12-19,17.36,17.36,17.36,17.36,9436301255.0,0,-0.0028760445478935733
2014-12-22,17.32,17.32,17.32,17.32,10160780787.0,0,-0.002306806097914948
2014-12-23,16.63,16.63,16.63,16.63,4790120703.0,0,-0.04065360992945287
2014-12-24,16.53,16.53,16.53,16.53,5755904567.0,0,-0.006031381371903316
2014-12-25,16.5,16.5,16.5,16.5,3993673213.0,0,-0.0018165309263980052
2014-12-26,16.75,16.75,16.75,16.75,8306220035.0,0,0.015037877364540502
2014-12-29,16.97,16.97,16.97,16.97,4498600901.0,0,0.013048820975059378
2014-12-30,16.13,16.13,16.13,16.13,3852827477.0,0,-0.05076618710901742
2015-01-05,16.13,16.13,16.13,16.13,0.0,0,0.0
2015-01-06,16.13,16.13,16.13,16.13,0.0,0,0.0
2015-01-08,16.13,16.13,16.13,16.13,0.0,0,0.0
2015-01-09,16.13,16.13,16.13,16.13,0.0,0,0.0
2015-01-12,17.04,17.04,17.04,17.04,6687884575.0,0,0.054882629264052164
2015-01-13,16.5,16.5,16.5,16.5,3645860121.0,0,-0.032203140494634706
2015-01-14,16.91,16.91,16.91,16.91,4108106745.0,0,0.024544782003954053
2015-01-15,16.5,16.5,16.5,16.5,4362713118.0,0,-0.024544782003954047
2015-01-16,16.48,16.48,16.48,16.48,11729915436.0,0,-0.0012128564252092936
2015-01-19,16.47,16.47,16.47,16.47,8701117730.0,0,-0.0006069802917767686
2015-01-20,16.42,16.42,16.42,16.42,10127370933.0,0,-0.0030404401652665974
2015-01-21,16.57,16.57,16.57,16.57,22767385009.0,0,0.009093727414189385
2015-01-22,16.89,16.89,16.89,16.89,24271230483.0,0,0.019127899381237212
2015-01-23,16.76,16.76,16.76,16.76,22753772407.0,0,-0.007726635765771643
2015-01-26,16.8,16.8,16.8,16.8,30276329224.0,0,0.0023837913552761975
2015-01-27,16.88,16.88,16.88,16.88,31533740892.0,0,0.004750602758597799
2015-01-28,16.67,16.67,16.67,16.67,26248778901.0,0,-0.012518792405108285
2015-01-29,16.65,16.65,16.65,16.65,26347557886.0,0,-0.0012004803362500043
2015-01-30,16.45,16.45,16.45,16.45,25486577450.0,0,-0.012084739215071886
2015-02-02,14.6,14.6,14.6,14.6,21774019913.0,0,-0.11930394849709013
2015-02-03,14.5,14.5,14.5,14.5,25012101018.0,0,-0.006872879287762064
2015-02-04,14.58,14.58,14.58,14.58,26374325694.0,0,0.005502077153983338
2015-02-05,14.47,14.47,14.47,14.47,27967569587.0,0,-0.00757318593711958
2015-02-06,14.34,14.34,14.34,14.34,22707205050.0,0,-0.0090247054719182
2015-02-09,14.38,14.38,14.38,14.38,25740143727.0,0,0.0027855171214264483
2015-02-10,14.7,14.7,14.7,14.7,33972827326.0,0,0.022009141491789848
2015-02-11,15.01,15.01,15.01,15.01,36422296138.0,0,0.020869151860679926
2015-02-12,14.91,14.91,14.91,14.91,32191963844.0,0,-0.006684516868723478
2015-02-13,14.87,14.87,14.87,14.87,37225551183.0,0,-0.002686368304583399
2015-02-16,14.93,14.93,14.93,14.93,29440246239.0,0,0.004026851079035445
2015-02-17,14.89,14.89,14.89,14.89,37156755625.0,0,-0.0026827648551813713
2015-02-18,14.93,14.93,14.93,14.93,37520800703.0,0,0.002682764855181433
2015-02-19,14.96,14.96,14.96,14.96,38443530245.0,0,0.002007360995232145
