begin,open,close,high,low,value,volume,log_return
2020-01-06,572.99,572.6,573.31,572.59,238174768.24,0,-8.731717971051712e-05
2020-01-08,572.82,572.71,573.04,572.71,104481063.66,0,0.00019208773229646294
2020-01-09,572.79,573.13,573.59,572.69,17785036747.8,0,0.0007330866766904172
2020-01-10,573.25,574.88,574.88,573.18,32293622205.8,0,0.003048756292206861
2020-01-13,574.99,577.95,578.04,574.01,23001397205.4,0,0.00532603637506778
2020-01-14,578.05,577.93,579.09,577.91,26310511001.7,0,-3.460566841204857e-05
2020-01-15,578.14,577.04,578.32,577.03,31456439292.9,0,-0.0015411658764471294
2020-01-16,577.18,577.57,577.89,577.18,23781080720.2,0,0.0009180589761481132
2020-01-17,577.73,578.04,578.14,577.48,18471444502.6,0,0.0008134232585645334
2020-01-20,578.33,578.66,579.0,578.33,9016408459.77,0,0.001072015318364748
2020-01-21,578.79,578.23,579.02,578.18,16086704381.1,0,-0.0007433723513930123
2020-01-22,578.34,578.34,579.05,578.19,15016728848.9,0,0.00019021762683046323
2020-01-23,578.47,578.98,579.03,578.42,16756414056.4,0,0.0011060036381289249
2020-01-24,579.1,579.04,580.67,579.03,16847313387.7,0,0.00010362515337150428
2020-01-27,579.29,577.71,580.23,577.71,31280931442.7,0,-0.002299547155525972
2020-01-28,577.79,577.38,578.38,577.09,28765570052.0,0,-0.0005713840635417276
2020-01-29,577.49,578.18,578.49,577.49,23929055189.1,0,0.0013846102804001893
2020-01-30,578.35,577.95,578.5,577.94,29605362121.8,0,-0.0003978791364883128
2020-01-31,578.07,578.19,578.98,578.04,27539104827.8,0,0.00041517463879355574
2020-02-03,578.5,577.76,578.5,577.75,42218195349.3,0,-0.0007439768499223543
2020-02-04,577.9,578.6,578.6,577.48,34005798775.2,0,0.0014528350128872108
2020-02-05,578.67,579.85,579.85,578.55,40828821465.1,0,0.0021580568606775824
2020-02-06,579.97,579.85,581.65,579.85,32346733649.7,0,0.0
2020-02-07,579.99,580.85,580.87,579.74,32589431424.3,0,0.0017230985567716372
2020-02-10,581.19,581.41,581.9,581.19,15032148625.2,0,0.0009636398797768733
2020-02-11,581.51,581.96,581.96,581.39,21738383634.4,0,0.0009455290079272926
2020-02-12,582.07,582.93,582.93,581.95,54613646251.1,0,0.0016653936838569743
2020-02-13,583.06,583.7,583.77,583.04,42033172109.4,0,0.0013200416787004599
