begin,open,close,high,low,value,volume,log_return
2014-05-13,79.76,80.15,81.08,79.15,14982774153.6,186766010,0.013439880753145802
2014-05-14,80.25,81.38,81.68,79.55,10950369363.2,136298440,0.01522966351798184
2014-05-15,81.1,80.04,82.3,79.75,13958326176.9,171237780,-0.01660303285801112
2014-05-16,79.4,79.2,79.79,78.53,11712181282.7,148101150,-0.010550210895152486
2014-05-19,79.3,81.62,81.68,79.17,11387666217.8,141103030,0.030098031157279565
2014-05-20,82.05,82.31,82.55,80.55,12704722224.7,155680150,0.008418277006892856
2014-05-21,82.0,83.59,84.09,81.3,15827223384.5,191332530,0.015431288726512091
2014-05-22,84.01,83.26,84.3,82.16,10987132137.3,132031140,-0.003955653944235391
2014-05-23,83.2,85.83,85.98,82.63,14373948595.5,170529760,0.0304003539632992
2014-05-26,86.0,86.87,87.62,85.37,9861521266.2,113548190,0.012044152541700657
2014-05-27,86.9,84.33,86.9,83.95,12750027950.6,149979600,-0.029675074685278982
2014-05-28,84.5,84.95,85.38,83.73,9936248035.4,117406900,0.0073251745313907745
2014-05-29,85.3,85.65,86.01,84.18,11385853542.6,133574640,0.008206376652187949
2014-05-30,85.65,84.5,85.9,84.21,9193858538.7,108275150,-0.013517690407000816
2014-06-02,84.76,85.91,87.15,84.76,11679296280.8,135553000,0.016548702286836883
2014-06-03,85.3,86.84,86.84,84.66,10259671670.7,119911060,0.010767108360125982
2014-06-04,86.41,87.81,88.47,86.23,10361328204.3,118827760,0.011108044361812994
2014-06-05,87.95,87.43,89.05,86.86,12025304480.7,136671320,-0.004336916179104532
2014-06-06,87.75,89.0,89.18,86.28,11211383095.1,127899230,0.01779789653934008
2014-06-09,89.3,88.89,89.6,88.62,7560962732.0,84842190,-0.0012367194785562923
2014-06-10,88.88,88.99,89.0,87.87,7596389042.6,85853250,0.0011243536151871486
2014-06-11,89.0,89.0,89.33,88.51,6041154867.6,67980020,0.00011236586336907815
2014-06-16,84.5,84.85,85.72,84.15,11088013550.9,130296750,-0.04775137805190453
2014-06-17,84.95,83.8,85.55,83.37,7330000018.9,86913970,-0.012451984192197956
2014-06-18,84.11,83.77,84.55,83.12,9671046875.6,115310330,-0.0003580593223192149
2014-06-19,84.55,84.8,85.69,84.35,9528743715.0,112078350,0.012220594632139252
2014-06-20,84.8,84.16,85.14,84.1,7073051535.6,83715090,-0.007575793808457656
2014-06-23,84.23,83.68,85.3,83.41,8347843813.1,99040960,-0.005719748672786841
2014-06-24,84.09,86.5,86.6,83.91,12819683767.4,150531880,0.033144413621220795
2014-06-25,86.02,84.4,86.4,83.85,9811010217.8,114961050,-0.024577012335922136
2014-06-26,84.9,84.1,85.14,83.46,8383743521.2,99471360,-0.0035608346230091804
2014-06-27,84.15,84.33,84.94,83.96,4828661473.2,57140600,0.0027311066076479255
2014-06-30,84.5,84.5,84.7,83.03,6822354609.1,81496490,0.0020138607765778846
2014-07-01,84.45,84.07,84.46,83.05,6700970195.0,80028320,-0.005101749215922742
2014-07-02,84.3,85.79,85.97,84.12,8016712732.6,94197580,0.020252664437668447
2014-07-03,85.9,85.34,86.5,85.25,6559336708.5,76353880,-0.005259171825019994
2014-07-04,85.51,84.0,85.86,83.8,5890073881.0,69404770,-0.015826478916540352
2014-07-07,84.08,85.49,85.7,83.87,6025535758.0,71042760,0.017582611194828693
2014-07-08,85.3,85.11,86.69,84.67,8532268044.6,99525260,-0.004454872549272636
2014-07-09,84.91,85.2,85.56,84.2,6861142523.7,80831840,0.0010568963464004757
2014-07-10,85.74,84.47,86.09,83.37,9686873454.4,114382280,-0.008604992095864765
2014-07-11,84.5,84.55,84.88,83.8,6602300169.9,78260360,0.0009466336051839641
2014-07-14,84.65,83.55,85.19,83.55,5856987360.7,69434020,-0.011897820303186608
2014-07-15,83.82,83.09,84.01,82.87,6601547994.8,79123700,-0.005520897364512646
2014-07-16,83.0,83.78,83.98,82.55,7160064071.3,86004300,0.008269957841998733
2014-07-17,82.0,81.5,82.19,80.53,12027761202.8,147892860,-0.02759129527207176
2014-07-18,79.8,80.27,80.96,79.59,11816975027.0,147407130,-0.015207068103331585
2014-07-21,80.31,76.56,80.4,76.56,14297774488.2,182779550,-0.047321204998786615
2014-07-22,77.3,78.3,78.84,77.06,12028123266.1,154403850,0.022472855852058576
2014-07-23,78.4,77.45,78.94,76.6,7277557742.1,93643340,-0.010915036133879685
2014-07-24,77.0,76.87,77.37,75.81,7809701201.2,101869250,-0.007516883501837048
2014-07-25,76.81,75.16,76.98,75.0,8283568523.8,109515350,-0.022496508815776108
2014-07-28,74.51,72.82,74.6,72.6,8557052061.2,116467930,-0.03162853179797728
2014-07-29,72.45,73.2,74.5,71.86,14153119044.7,193639220,0.005204778219978636
2014-07-30,72.65,73.68,75.83,72.33,14523547897.5,194588780,0.00653597097978567
2014-07-31,73.9,73.6,75.27,73.24,8188974758.4,110573680,-0.0010863662122210741
2014-08-01,72.88,72.37,73.5,71.52,13276911148.5,183538940,-0.016853176856794057
2014-08-04,72.8,72.75,73.59,71.85,7492810618.6,102965070,0.00523705717356546
2014-08-05,73.0,71.6,73.3,71.57,7475834047.6,103702890,-0.015933832085002018
2014-08-06,71.22,69.0,71.3,68.85,17648189319.1,252771000,-0.036988569369340425
2014-08-07,68.42,68.5,69.3,66.1,17451511001.3,257510130,-0.007272759329079809
2014-08-08,67.91,70.7,70.75,67.91,11312689552.6,162405320,0.031611827634347514
2014-08-11,72.01,74.3,74.4,72.01,12286598125.900003,167202310,0.04966537882118639
2014-08-12,74.1,73.4,75.18,72.88,12415710937.200005,167777990,-0.012187016103243452
2014-08-13,73.1,74.79,75.19,72.6,10080428212.400005,135367750,0.01876025058310623
2014-08-14,74.94,75.17,75.87,74.3,10937867858.2,145786830,0.005068028985801226
2014-08-15,75.01,75.37,76.0,74.0,9304921653.300003,124200500,0.002657102666001115
2014-08-18,75.18,75.09,75.98,74.77,6532890607.0,86739720,-0.003721923743585979
2014-08-19,75.6,75.95,76.1,75.11,7354923587.900002,97121820,0.011387834929989337
2014-08-20,75.99,76.7,76.89,75.18,8990135371.499994,118357360,0.009826479331428708
2014-08-21,76.85,78.14,78.61,76.71,8924546858.500004,114728810,0.018600381253713917
