pp,REPORT_DATE,CONTRACT_ID,DAY_PAST_DUE,DPD_GROUP,AMT_PRINCIPAL
1,31.03.2023,LOAN_1978216670,0,0 days,"487,445"
2,31.03.2023,LOAN_1978216687,0,0 days,"626,114"
3,31.03.2023,LOAN_1978211141,0,0 days,"997,305"
4,31.03.2023,LOAN_2007928944,0,0 days,"624,153"
5,31.03.2023,LOAN_1978213795,0,0 days,"450,067"
6,31.03.2023,LOAN_1978216158,0,0 days,"667,956"
7,31.03.2023,LOAN_1977626154,0,0 days,"587,255"
8,31.03.2023,LOAN_1978214172,0,0 days,"439,804"
9,31.03.2023,LOAN_1978213190,0,0 days,"586,650"
10,31.12.2023,LOAN_2007928944,0,0 days,"481,762"
11,31.12.2023,LOAN_1978220700,0,0 days,"642,837"
12,31.12.2023,LOAN_1978216158,0,0 days,"505,475"
13,31.12.2023,LOAN_1978214172,0,0 days,"397,375"
14,31.12.2023,LOAN_1978211141,0,0 days,"754,712"
15,31.12.2023,LOAN_1978213012,0,0 days,"350,573"
16,30.09.2023,LOAN_2007928944,0,0 days,"530,243"
17,30.09.2023,LOAN_1978216023,0,0 days,"869,185"
18,30.09.2023,LOAN_1978211141,0,0 days,"837,301"
19,30.09.2023,LOAN_1978214172,0,0 days,"411,858"
20,30.09.2023,LOAN_1978213795,0,0 days,"377,859"
21,30.09.2023,LOAN_1978216158,0,0 days,"560,790"
22,30.09.2023,LOAN_1978213012,0,0 days,"388,937"
23,30.09.2023,LOAN_1978218114,0,0 days,"689,542"
24,30.09.2023,LOAN_2004506386,0,0 days,"600,516"
25,30.06.2023,LOAN_1978213795,0,0 days,"414,323"
26,30.06.2023,LOAN_1978218114,0,0 days,"756,083"
27,30.06.2023,LOAN_1978213012,0,0 days,"426,469"
28,30.06.2023,LOAN_1978216023,0,0 days,"953,061"
29,30.06.2023,LOAN_1978211141,0,0 days,"918,101"
30,30.06.2023,LOAN_2004506386,0,0 days,"654,224"
31,30.06.2023,LOAN_1978214172,0,0 days,"425,970"
32,30.06.2023,LOAN_1978216158,0,0 days,"614,907"
33,30.06.2023,LOAN_1978219406,0,0 days,"810,543"
34,30.06.2023,LOAN_1978219196,0,0 days,"625,605"
35,30.06.2023,LOAN_2007928944,0,0 days,"577,666"
36,30.06.2023,LOAN_1978213190,0,0 days,"540,059"
37,30.06.2023,LOAN_1978220700,0,0 days,"782,006"
38,31.03.2023,LOAN_1978220700,0,0 days,"849,470"
39,31.03.2023,LOAN_1978218114,0,0 days,"821,310"
40,31.03.2023,LOAN_1978219406,0,0 days,"830,441"
41,31.03.2023,LOAN_1978219196,0,0 days,"679,576"
42,31.03.2023,LOAN_1978216023,0,0 days,"1,035,282"
43,31.03.2023,LOAN_1978213012,7,1 - 30,"464,656"
44,31.03.2023,LOAN_2004506386,0,0 days,"706,872"
45,30.09.2023,LOAN_1978220700,0,0 days,"713,183"
46,30.09.2023,LOAN_1978213190,0,0 days,"492,530"
47,30.09.2023,LOAN_1978219196,6,1 - 30,"588,977"
48,30.09.2023,LOAN_1978219406,0,0 days,"790,243"
49,31.12.2023,LOAN_2004506386,0,0 days,"545,610"
50,31.12.2023,LOAN_1978213190,0,0 days,"476,406"
51,31.12.2023,LOAN_1978216023,0,0 days,"783,452"
52,31.12.2023,LOAN_1978219406,37,31 - 60,"783,273"
53,31.12.2023,LOAN_1978219196,7,1 - 30,"533,190"
54,31.12.2023,LOAN_1978213795,0,0 days,"340,589"
55,31.12.2023,LOAN_1978218114,0,0 days,"621,528"
56,31.03.2023,LOAN_1978214647,0,0 days,"270,738"
57,31.03.2023,LOAN_1978216060,0,0 days,"740,416"
58,30.09.2023,LOAN_1978216060,0,0 days,"680,100"
59,30.06.2023,LOAN_1978216060,0,0 days,"710,559"
60,31.12.2023,LOAN_2007930070,0,0 days,"392,449"
61,30.06.2023,LOAN_2007930070,0,0 days,"446,455"
62,31.03.2023,LOAN_2007930070,0,0 days,"508,809"
63,30.09.2023,LOAN_2007930070,0,0 days,"419,763"
64,31.12.2023,LOAN_2174606359,0,0 days,"158,280"
65,31.12.2023,LOAN_2100106381,0,0 days,"633,621"
66,30.09.2023,LOAN_2100106381,0,0 days,"771,549"
67,31.12.2023,LOAN_2156908635,0,0 days,"421,590"
68,31.03.2023,LOAN_1471908746,0,0 days,"5,332"
69,31.03.2023,LOAN_1484606403,0,0 days,"7,212"
70,31.03.2023,LOAN_1483312125,0,0 days,"12,768"
71,31.12.2022,LOAN_1484606403,0,0 days,"17,575"
72,31.12.2022,LOAN_1463506154,0,0 days,"10,916"
73,31.12.2022,LOAN_1471908746,0,0 days,"20,768"
74,31.12.2022,LOAN_1483312125,0,0 days,"30,976"
75,31.03.2023,LOAN_1937934269,0,0 days,"945,222"
76,31.03.2023,LOAN_1937932937,0,0 days,"553,083"
77,31.03.2023,LOAN_1937932993,0,0 days,"536,967"
78,31.03.2023,LOAN_1937932736,0,0 days,"696,284"
79,31.03.2023,LOAN_1942518125,66,61 - 90,"442,345"
80,31.03.2023,LOAN_1937933781,0,0 days,"543,216"
81,31.03.2023,LOAN_1937934904,0,0 days,"951,479"
82,31.12.2023,LOAN_1937933753,0,0 days,"399,254"
83,31.12.2023,LOAN_1937934269,0,0 days,"865,695"
84,31.12.2023,LOAN_1937932937,0,0 days,"480,581"
85,31.12.2023,LOAN_1943703125,0,0 days,"593,537"
86,31.12.2023,LOAN_1937933821,0,0 days,"731,730"
87,31.12.2023,LOAN_1937933781,0,0 days,"543,216"
88,31.12.2023,LOAN_1937933498,0,0 days,"483,376"
89,31.12.2023,LOAN_1937934904,0,0 days,"886,224"
90,30.09.2023,LOAN_1937934269,0,0 days,"907,117"
91,30.09.2023,LOAN_1937933498,0,0 days,"508,391"
92,30.09.2023,LOAN_1937932736,0,0 days,"636,281"
93,30.09.2023,LOAN_1957706125,0,0 days,"490,493"
94,30.09.2023,LOAN_1937934084,0,0 days,"712,029"
95,30.09.2023,LOAN_1937933821,0,0 days,"769,597"
96,30.09.2023,LOAN_1937932937,0,0 days,"505,440"
97,30.09.2023,LOAN_1943703125,0,0 days,"600,011"
98,30.09.2023,LOAN_1937934904,0,0 days,"908,679"
99,30.06.2023,LOAN_1937933821,0,0 days,"806,337"
100,30.06.2023,LOAN_1937933498,0,0 days,"532,661"
101,30.06.2023,LOAN_1937933753,0,0 days,"439,951"
102,30.06.2023,LOAN_1937934084,0,0 days,"746,021"
103,30.06.2023,LOAN_1943703125,0,0 days,"604,731"
104,30.06.2023,LOAN_1937933781,0,0 days,"543,216"
105,30.06.2023,LOAN_1957706125,0,0 days,"513,342"
106,30.06.2023,LOAN_1937932937,0,0 days,"529,559"
107,30.06.2023,LOAN_1937934904,0,0 days,"930,347"
108,30.06.2023,LOAN_1937934269,0,0 days,"932,012"
109,30.06.2023,LOAN_1937932736,0,0 days,"666,657"
110,31.03.2023,LOAN_1937933753,0,0 days,"459,497"
111,31.03.2023,LOAN_1937933498,0,0 days,"556,333"
112,31.03.2023,LOAN_1937933821,0,0 days,"842,171"
113,31.03.2023,LOAN_1943703125,0,0 days,"604,731"
114,31.03.2023,LOAN_1937934084,0,0 days,"779,174"
115,31.03.2023,LOAN_1947908830,0,0 days,"443,415"
116,31.03.2023,LOAN_1957706125,0,0 days,"535,627"
117,30.09.2023,LOAN_1937933781,0,0 days,"543,216"
118,30.09.2023,LOAN_1937933753,0,0 days,"419,910"
119,31.12.2023,LOAN_1937932736,0,0 days,"604,974"
120,31.12.2023,LOAN_1957706125,0,0 days,"466,940"
121,31.12.2023,LOAN_1937934084,0,0 days,"676,994"
122,31.12.2022,LOAN_1937934269,0,0 days,"984,955"
123,31.12.2022,LOAN_1947909231,0,0 days,"1,620,563"
124,31.12.2022,LOAN_1957706125,0,0 days,"557,650"
125,31.12.2022,LOAN_1937933781,0,0 days,"555,870"
126,31.12.2022,LOAN_1942518125,0,0 days,"442,345"
127,31.12.2022,LOAN_1937932736,0,0 days,"725,553"
128,31.12.2022,LOAN_1937934904,0,0 days,"984,955"
129,31.12.2022,LOAN_1937934084,0,0 days,"811,927"
130,31.12.2022,LOAN_1947908830,0,0 days,"461,646"
131,31.12.2022,LOAN_1937932993,0,0 days,"559,539"
132,31.12.2022,LOAN_1937933821,0,0 days,"877,573"
133,31.12.2022,LOAN_1937933498,0,0 days,"579,719"
134,31.12.2022,LOAN_1937933753,0,0 days,"479,353"
135,31.12.2022,LOAN_1937932937,0,0 days,"579,719"
136,31.12.2022,LOAN_1943703125,0,0 days,"612,741"
137,31.03.2023,LOAN_2007930163,0,0 days,"693,540"
138,31.12.2023,LOAN_2007930163,0,0 days,"646,656"
139,30.09.2023,LOAN_2007930163,0,0 days,"663,352"
140,30.06.2023,LOAN_2007930163,0,0 days,"678,845"
141,31.03.2023,LOAN_1734908374,0,0 days,"4,582"
142,31.03.2023,LOAN_1722926151,0,0 days,"2,307"
143,31.12.2022,LOAN_1734908374,17,1 - 30,"10,347"
144,31.12.2022,LOAN_1722926151,0,0 days,"9,002"
145,31.12.2023,LOAN_2067937356,0,0 days,"197,745"
146,30.09.2023,LOAN_2067937356,0,0 days,"201,285"
147,30.09.2023,LOAN_2007929294,0,0 days,"222,533"
148,30.06.2023,LOAN_2007929294,0,0 days,"226,395"
149,30.06.2023,LOAN_2067937356,0,0 days,"298,906"
150,31.03.2023,LOAN_2007929294,0,0 days,"231,198"
151,31.12.2023,LOAN_2075909250,0,0 days,"576,683"
152,31.12.2023,LOAN_2100106359,0,0 days,"324,155"
153,31.12.2023,LOAN_2062908908,0,0 days,"340,704"
154,31.12.2023,LOAN_2052586154,0,0 days,"447,562"
155,31.12.2023,LOAN_2078128607,0,0 days,"311,052"
156,30.09.2023,LOAN_2100106428,0,0 days,"318,354"
157,30.09.2023,LOAN_2052586154,0,0 days,"475,849"
158,30.09.2023,LOAN_2075909250,0,0 days,"583,726"
159,30.06.2023,LOAN_2052586154,0,0 days,"503,483"
160,30.06.2023,LOAN_2062908908,0,0 days,"380,812"
161,30.09.2023,LOAN_2078128607,0,0 days,"329,680"
162,30.09.2023,LOAN_2062908908,0,0 days,"360,417"
163,30.09.2023,LOAN_2100106359,0,0 days,"343,053"
