pp,REPORT_DATE,CONTRACT_ID,DAY_PAST_DUE,DPD_GROUP,AMT_PRINCIPAL
1,2023-03-31,LOAN_1978216670,0,0 days,487445.0
2,2023-03-31,LOAN_1978216687,0,0 days,626114.0
3,2023-03-31,LOAN_1978211141,0,0 days,997305.0
4,2023-03-31,LOAN_2007928944,0,0 days,624153.0
5,2023-03-31,LOAN_1978213795,0,0 days,450067.0
6,2023-03-31,LOAN_1978216158,0,0 days,667956.0
7,2023-03-31,LOAN_1977626154,0,0 days,587255.0
8,2023-03-31,LOAN_1978214172,0,0 days,439804.0
9,2023-03-31,LOAN_1978213190,0,0 days,586650.0
10,2023-12-31,LOAN_2007928944,0,0 days,481762.0
11,2023-12-31,LOAN_1978220700,0,0 days,642837.0
12,2023-12-31,LOAN_1978216158,0,0 days,505475.0
13,2023-12-31,LOAN_1978214172,0,0 days,397375.0
14,2023-12-31,LOAN_1978211141,0,0 days,754712.0
15,2023-12-31,LOAN_1978213012,0,0 days,350573.0
16,2023-09-30,LOAN_2007928944,0,0 days,530243.0
17,2023-09-30,LOAN_1978216023,0,0 days,869185.0
18,2023-09-30,LOAN_1978211141,0,0 days,837301.0
19,2023-09-30,LOAN_1978214172,0,0 days,411858.0
20,2023-09-30,LOAN_1978213795,0,0 days,377859.0
21,2023-09-30,LOAN_1978216158,0,0 days,560790.0
22,2023-09-30,LOAN_1978213012,0,0 days,388937.0
23,2023-09-30,LOAN_1978218114,0,0 days,689542.0
24,2023-09-30,LOAN_2004506386,0,0 days,600516.0
25,2023-06-30,LOAN_1978213795,0,0 days,414323.0
26,2023-06-30,LOAN_1978218114,0,0 days,756083.0
27,2023-06-30,LOAN_1978213012,0,0 days,426469.0
28,2023-06-30,LOAN_1978216023,0,0 days,953061.0
29,2023-06-30,LOAN_1978211141,0,0 days,918101.0
30,2023-06-30,LOAN_2004506386,0,0 days,654224.0
31,2023-06-30,LOAN_1978214172,0,0 days,425970.0
32,2023-06-30,LOAN_1978216158,0,0 days,614907.0
33,2023-06-30,LOAN_1978219406,0,0 days,810543.0
34,2023-06-30,LOAN_1978219196,0,0 days,625605.0
35,2023-06-30,LOAN_2007928944,0,0 days,577666.0
36,2023-06-30,LOAN_1978213190,0,0 days,540059.0
37,2023-06-30,LOAN_1978220700,0,0 days,782006.0
38,2023-03-31,LOAN_1978220700,0,0 days,849470.0
39,2023-03-31,LOAN_1978218114,0,0 days,821310.0
40,2023-03-31,LOAN_1978219406,0,0 days,830441.0
41,2023-03-31,LOAN_1978219196,0,0 days,679576.0
42,2023-03-31,LOAN_1978216023,0,0 days,1035282.0
43,2023-03-31,LOAN_1978213012,7,1 - 30,464656.0
44,2023-03-31,LOAN_2004506386,0,0 days,706872.0
45,2023-09-30,LOAN_1978220700,0,0 days,713183.0
46,2023-09-30,LOAN_1978213190,0,0 days,492530.0
47,2023-09-30,LOAN_1978219196,6,1 - 30,588977.0
48,2023-09-30,LOAN_1978219406,0,0 days,790243.0
49,2023-12-31,LOAN_2004506386,0,0 days,545610.0
50,2023-12-31,LOAN_1978213190,0,0 days,476406.0
51,2023-12-31,LOAN_1978216023,0,0 days,783452.0
52,2023-12-31,LOAN_1978219406,37,31 - 60,783273.0
53,2023-12-31,LOAN_1978219196,7,1 - 30,533190.0
54,2023-12-31,LOAN_1978213795,0,0 days,340589.0
55,2023-12-31,LOAN_1978218114,0,0 days,621528.0
56,2023-03-31,LOAN_1978214647,0,0 days,270738.0
57,2023-03-31,LOAN_1978216060,0,0 days,740416.0
58,2023-09-30,LOAN_1978216060,0,0 days,680100.0
59,2023-06-30,LOAN_1978216060,0,0 days,710559.0
60,2023-12-31,LOAN_2007930070,0,0 days,392449.0
61,2023-06-30,LOAN_2007930070,0,0 days,446455.0
62,2023-03-31,LOAN_2007930070,0,0 days,508809.0
63,2023-09-30,LOAN_2007930070,0,0 days,419763.0
64,2023-12-31,LOAN_2174606359,0,0 days,158280.0
65,2023-12-31,LOAN_2100106381,0,0 days,633621.0
66,2023-09-30,LOAN_2100106381,0,0 days,771549.0
67,2023-12-31,LOAN_2156908635,0,0 days,421590.0
68,2023-03-31,LOAN_1471908746,0,0 days,5332.0
69,2023-03-31,LOAN_1484606403,0,0 days,7212.0
70,2023-03-31,LOAN_1483312125,0,0 days,12768.0
71,2022-12-31,LOAN_1484606403,0,0 days,17575.0
72,2022-12-31,LOAN_1463506154,0,0 days,10916.0
73,2022-12-31,LOAN_1471908746,0,0 days,20768.0
74,2022-12-31,LOAN_1483312125,0,0 days,30976.0
75,2023-03-31,LOAN_1937934269,0,0 days,945222.0
76,2023-03-31,LOAN_1937932937,0,0 days,553083.0
77,2023-03-31,LOAN_1937932993,0,0 days,536967.0
78,2023-03-31,LOAN_1937932736,0,0 days,696284.0
79,2023-03-31,LOAN_1942518125,66,61 - 90,442345.0
80,2023-03-31,LOAN_1937933781,0,0 days,543216.0
81,2023-03-31,LOAN_1937934904,0,0 days,951479.0
82,2023-12-31,LOAN_1937933753,0,0 days,399254.0
83,2023-12-31,LOAN_1937934269,0,0 days,865695.0
84,2023-12-31,LOAN_1937932937,0,0 days,480581.0
85,2023-12-31,LOAN_1943703125,0,0 days,593537.0
86,2023-12-31,LOAN_1937933821,0,0 days,731730.0
87,2023-12-31,LOAN_1937933781,0,0 days,543216.0
88,2023-12-31,LOAN_1937933498,0,0 days,483376.0
89,2023-12-31,LOAN_1937934904,0,0 days,886224.0
90,2023-09-30,LOAN_1937934269,0,0 days,907117.0
91,2023-09-30,LOAN_1937933498,0,0 days,508391.0
92,2023-09-30,LOAN_1937932736,0,0 days,636281.0
93,2023-09-30,LOAN_1957706125,0,0 days,490493.0
94,2023-09-30,LOAN_1937934084,0,0 days,712029.0
95,2023-09-30,LOAN_1937933821,0,0 days,769597.0
96,2023-09-30,LOAN_1937932937,0,0 days,505440.0
97,2023-09-30,LOAN_1943703125,0,0 days,600011.0
98,2023-09-30,LOAN_1937934904,0,0 days,908679.0
99,2023-06-30,LOAN_1937933821,0,0 days,806337.0
100,2023-06-30,LOAN_1937933498,0,0 days,532661.0
101,2023-06-30,LOAN_1937933753,0,0 days,439951.0
102,2023-06-30,LOAN_1937934084,0,0 days,746021.0
103,2023-06-30,LOAN_1943703125,0,0 days,604731.0
104,2023-06-30,LOAN_1937933781,0,0 days,543216.0
105,2023-06-30,LOAN_1957706125,0,0 days,513342.0
106,2023-06-30,LOAN_1937932937,0,0 days,529559.0
107,2023-06-30,LOAN_1937934904,0,0 days,930347.0
108,2023-06-30,LOAN_1937934269,0,0 days,932012.0
109,2023-06-30,LOAN_1937932736,0,0 days,666657.0
110,2023-03-31,LOAN_1937933753,0,0 days,459497.0
111,2023-03-31,LOAN_1937933498,0,0 days,556333.0
112,2023-03-31,LOAN_1937933821,0,0 days,842171.0
113,2023-03-31,LOAN_1943703125,0,0 days,604731.0
114,2023-03-31,LOAN_1937934084,0,0 days,779174.0
115,2023-03-31,LOAN_1947908830,0,0 days,443415.0
116,2023-03-31,LOAN_1957706125,0,0 days,535627.0
117,2023-09-30,LOAN_1937933781,0,0 days,543216.0
118,2023-09-30,LOAN_1937933753,0,0 days,419910.0
119,2023-12-31,LOAN_1937932736,0,0 days,604974.0
120,2023-12-31,LOAN_1957706125,0,0 days,466940.0
121,2023-12-31,LOAN_1937934084,0,0 days,676994.0
122,2022-12-31,LOAN_1937934269,0,0 days,984955.0
123,2022-12-31,LOAN_1947909231,0,0 days,1620563.0
124,2022-12-31,LOAN_1957706125,0,0 days,557650.0
125,2022-12-31,LOAN_1937933781,0,0 days,555870.0
126,2022-12-31,LOAN_1942518125,0,0 days,442345.0
127,2022-12-31,LOAN_1937932736,0,0 days,725553.0
128,2022-12-31,LOAN_1937934904,0,0 days,984955.0
129,2022-12-31,LOAN_1937934084,0,0 days,811927.0
130,2022-12-31,LOAN_1947908830,0,0 days,461646.0
131,2022-12-31,LOAN_1937932993,0,0 days,559539.0
132,2022-12-31,LOAN_1937933821,0,0 days,877573.0
133,2022-12-31,LOAN_1937933498,0,0 days,579719.0
134,2022-12-31,LOAN_1937933753,0,0 days,479353.0
135,2022-12-31,LOAN_1937932937,0,0 days,579719.0
136,2022-12-31,LOAN_1943703125,0,0 days,612741.0
137,2023-03-31,LOAN_2007930163,0,0 days,693540.0
138,2023-12-31,LOAN_2007930163,0,0 days,646656.0
139,2023-09-30,LOAN_2007930163,0,0 days,663352.0
140,2023-06-30,LOAN_2007930163,0,0 days,678845.0
141,2023-03-31,LOAN_1734908374,0,0 days,4582.0
142,2023-03-31,LOAN_1722926151,0,0 days,2307.0
143,2022-12-31,LOAN_1734908374,17,1 - 30,10347.0
144,2022-12-31,LOAN_1722926151,0,0 days,9002.0
145,2023-12-31,LOAN_2067937356,0,0 days,197745.0
146,2023-09-30,LOAN_2067937356,0,0 days,201285.0
147,2023-09-30,LOAN_2007929294,0,0 days,222533.0
148,2023-06-30,LOAN_2007929294,0,0 days,226395.0
149,2023-06-30,LOAN_2067937356,0,0 days,298906.0
150,2023-03-31,LOAN_2007929294,0,0 days,231198.0
151,2023-12-31,LOAN_2075909250,0,0 days,576683.0
152,2023-12-31,LOAN_2100106359,0,0 days,324155.0
153,2023-12-31,LOAN_2062908908,0,0 days,340704.0
154,2023-12-31,LOAN_2052586154,0,0 days,447562.0
155,2023-12-31,LOAN_2078128607,0,0 days,311052.0
156,2023-09-30,LOAN_2100106428,0,0 days,318354.0
157,2023-09-30,LOAN_2052586154,0,0 days,475849.0
158,2023-09-30,LOAN_2075909250,0,0 days,583726.0
159,2023-06-30,LOAN_2052586154,0,0 days,503483.0
160,2023-06-30,LOAN_2062908908,0,0 days,380812.0
161,2023-09-30,LOAN_2078128607,0,0 days,329680.0
162,2023-09-30,LOAN_2062908908,0,0 days,360417.0
163,2023-09-30,LOAN_2100106359,0,0 days,343053.0
164,2023-12-31,LOAN_2100106428,0,0 days,292824.0
165,2023-03-31,LOAN_1676306389,0,0 days,142507.0
166,2023-03-31,LOAN_1678178230,0,0 days,219296.0
167,2023-03-31,LOAN_1664982125,0,0 days,311958.0
168,2023-03-31,LOAN_1667908771,0,0 days,112933.0
169,2023-03-31,LOAN_1678177268,0,0 days,22800.0
170,2023-03-31,LOAN_1680906375,0,0 days,12400.0
171,2023-03-31,LOAN_1678175954,15,1 - 30,238505.0
172,2023-03-31,LOAN_1672544125,0,0 days,45864.0
173,2023-03-31,LOAN_1678173650,0,0 days,61007.0
174,2023-03-31,LOAN_1667909036,0,0 days,77000.0
175,2023-03-31,LOAN_1712908604,116,91 - 120,86724.0
176,2023-03-31,LOAN_1667909157,0,0 days,69138.0
177,2023-03-31,LOAN_1712908802,0,0 days,110630.0
178,2023-03-31,LOAN_1667908997,0,0 days,133466.0
179,2023-03-31,LOAN_1667908763,0,0 days,72523.0
180,2023-03-31,LOAN_1726586150,0,0 days,95300.0
181,2023-03-31,LOAN_1678174916,1,1 - 30,244698.0
182,2023-03-31,LOAN_1678174700,0,0 days,161850.0
183,2023-03-31,LOAN_1668406425,0,0 days,182462.0
184,2023-03-31,LOAN_1668686150,0,0 days,121662.0
185,2023-03-31,LOAN_1667909316,0,0 days,36432.0
186,2023-12-31,LOAN_1676306389,0,0 days,99553.0
187,2023-12-31,LOAN_1664982125,0,0 days,202937.0
188,2023-12-31,LOAN_1667909316,0,0 days,24332.0
189,2023-12-31,LOAN_1678171708,0,0 days,76618.0
